Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Mahmoud Abdul-Rauf,PG,28,SAC,31,0,530,103,273,.377,5,31,.161,98,242,.405,.386,16,16,1.000,6,31,37,58,16,1,19,31,227,abdulma02
2,Tariq Abdul-Wahad,SG,23,SAC,59,16,959,144,357,.403,4,19,.211,140,338,.414,.409,84,125,.672,44,72,116,51,35,13,65,81,376,abdulta01
3,Shareef Abdur-Rahim,SF,21,VAN,82,82,2950,653,1347,.485,21,51,.412,632,1296,.488,.493,502,640,.784,227,354,581,213,89,76,257,201,1829,abdursh01
4,Cory Alexander,PG,24,TOT,60,22,1298,171,400,.428,66,176,.375,105,224,.469,.510,80,102,.784,17,129,146,209,70,11,112,98,488,alexaco01
4,Cory Alexander,PG,24,SAS,37,3,501,60,145,.414,20,64,.313,40,81,.494,.483,25,37,.676,7,40,47,71,25,5,47,53,165,alexaco01
4,Cory Alexander,PG,24,DEN,23,19,797,111,255,.435,46,112,.411,65,143,.455,.525,55,65,.846,10,89,99,138,45,6,65,45,323,alexaco01
5,Ray Allen*,SG,22,MIL,82,82,3287,563,1315,.428,134,368,.364,429,947,.453,.479,342,391,.875,127,278,405,356,111,12,263,244,1602,allenra02
6,Derek Anderson,SF,23,CLE,66,13,1839,239,586,.408,17,84,.202,222,502,.442,.422,275,315,.873,55,132,187,227,86,13,128,136,770,anderde01
7,Greg Anderson,C,33,ATL,50,0,398,36,81,.444,0,5,.000,36,76,.474,.444,16,41,.390,39,79,118,15,19,10,17,85,88,andergr01
8,Kenny Anderson,PG,27,TOT,61,56,1858,268,674,.398,57,160,.356,211,514,.411,.440,153,194,.789,39,134,173,345,87,1,143,135,746,anderke01
8,Kenny Anderson,PG,27,POR,45,40,1472,204,527,.387,47,133,.353,157,394,.398,.432,112,145,.772,36,98,134,245,61,1,114,99,567,anderke01
8,Kenny Anderson,PG,27,BOS,16,16,386,64,147,.435,10,27,.370,54,120,.450,.469,41,49,.837,3,36,39,100,26,0,29,36,179,anderke01
9,Nick Anderson,SF,30,ORL,58,44,1701,343,754,.455,77,214,.360,266,540,.493,.506,127,199,.638,98,199,297,119,72,23,85,98,890,anderni01
10,Shandon Anderson,SG,24,UTA,82,2,1602,269,500,.538,7,32,.219,262,468,.560,.545,136,185,.735,86,141,227,89,66,18,91,145,681,andersh01
11,Chris Anstey,C,23,DAL,41,8,680,92,231,.398,3,16,.188,89,215,.414,.405,53,74,.716,53,104,157,35,31,27,41,95,240,anstech01
12,Greg Anthony,PG,30,SEA,80,0,1021,150,349,.430,66,159,.415,84,190,.442,.524,53,80,.663,18,93,111,205,64,3,91,97,419,anthogr01
13,B.J. Armstrong,PG,30,TOT,66,0,831,105,213,.493,9,35,.257,96,178,.539,.514,42,50,.840,16,60,76,150,29,0,42,74,261,armstbj01
13,B.J. Armstrong,PG,30,GSW,4,0,59,6,19,.316,0,1,.000,6,18,.333,.316,5,7,.714,4,3,7,6,4,0,7,6,17,armstbj01
13,B.J. Armstrong,PG,30,CHH,62,0,772,99,194,.510,9,34,.265,90,160,.563,.534,37,43,.860,12,57,69,144,25,0,35,68,244,armstbj01
14,Darrell Armstrong,PG,29,ORL,48,17,1236,156,380,.411,25,68,.368,131,312,.420,.443,105,123,.854,65,94,159,236,58,5,112,96,442,armstda01
15,Vincent Askew,SG,31,POR,30,5,443,19,54,.352,0,2,.000,19,52,.365,.352,28,39,.718,21,47,68,38,19,5,35,39,66,askewvi01
16,Keith Askins,SF,30,MIA,46,12,681,39,122,.320,21,74,.284,18,48,.375,.406,12,19,.632,28,73,101,29,27,12,26,107,111,askinke01
17,Stacey Augmon,SG,29,POR,71,23,1445,154,372,.414,1,7,.143,153,365,.419,.415,94,156,.603,104,131,235,88,57,32,81,144,403,augmost01
18,Isaac Austin,C,28,TOT,78,50,2266,406,871,.466,0,8,.000,406,863,.470,.466,243,363,.669,199,358,557,175,61,56,206,231,1055,austiis01
18,Isaac Austin,C,28,MIA,52,25,1371,252,532,.474,0,3,.000,252,529,.476,.474,155,228,.680,119,211,330,87,43,34,117,162,659,austiis01
18,Isaac Austin,C,28,LAC,26,25,895,154,339,.454,0,5,.000,154,334,.461,.454,88,135,.652,80,147,227,88,18,22,89,69,396,austiis01
