Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player-additional
1,Mahmoud Abdul-Rauf,PG,26,DEN,57,2029,18.6,.535,.324,.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,,4.4,1.1,5.5,.131,,3.5,-1.6,1.9,1.9,abdulma02
2,Michael Adams,PG,33,CHH,21,329,16.1,.579,.494,.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,,0.6,0.2,0.8,.117,,1.6,1.2,2.8,0.4,adamsmi01
3,Rafael Addison,SF,31,CHH,53,516,9.6,.489,.055,.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,,0.0,0.2,0.2,.019,,-3.9,-1.0,-4.9,-0.4,addisra01
4,Cory Alexander,PG,22,SAS,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-4.2,-0.1,-4.3,-0.3,alexaco01
5,Jerome Allen,SG,23,MIN,41,362,7.8,.447,.314,.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,,-0.5,0.3,-0.3,-0.033,,-4.3,-0.2,-4.6,-0.2,allenje01
6,Derrick Alston,C,23,PHI,73,1614,11.8,.518,.008,.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,,1.0,0.8,1.7,.052,,-2.5,-0.2,-2.8,-0.3,alstode01
7,John Amaechi,PF,25,CLE,28,357,3.1,.456,.000,.471,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,,-0.9,0.4,-0.6,-0.075,,-8.3,-0.9,-9.1,-0.6,amaecjo01
8,Ashraf Amaya,PF,24,VAN,54,1104,11.8,.534,.004,.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,,0.7,1.1,1.8,.078,,-3.3,-1.5,-4.8,-0.8,amayaas01
9,Greg Anderson,PF,31,SAS,46,344,7.7,.466,.021,.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,,-0.3,0.7,0.4,.056,,-6.2,2.6,-3.5,-0.1,andergr01
10,Kenny Anderson,PG,25,TOT,69,2344,19.5,.534,.307,.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,,6.1,1.6,7.7,.158,,4.1,0.2,4.3,3.7,anderke01
10,Kenny Anderson,PG,25,NJN,31,1042,19.8,.511,.261,.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,,2.7,1.0,3.7,.172,,4.2,1.2,5.4,1.9,anderke01
10,Kenny Anderson,PG,25,CHH,38,1302,19.2,.555,.346,.330,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,,3.4,0.6,4.0,.148,,4.1,-0.6,3.4,1.8,anderke01
11,Nick Anderson,SG,28,ORL,77,2717,16.5,.562,.476,.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,,4.2,3.3,7.4,.131,,2.3,0.6,2.9,3.4,anderni01
12,Willie Anderson,SG,29,TOT,76,2060,11.3,.507,.182,.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,,0.0,1.5,1.4,.033,,-2.4,0.2,-2.2,-0.1,anderwi01
12,Willie Anderson,SG,29,TOR,49,1564,11.9,.518,.180,.250,2.7,11.6,7.1,15.1,1.9,2.5,16.9,19.8,,0.1,0.8,0.9,.027,,-2.0,-0.1,-2.1,0.0,anderwi01
12,Willie Anderson,SG,29,NYK,27,496,9.2,.464,.188,.233,3.2,10.9,7.2,15.0,1.8,1.2,14.1,16.0,,-0.2,0.7,0.5,.052,,-3.6,1.2,-2.4,-0.1,anderwi01
