Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player-additional
22,William Avery,PG,22,MIN,28,258,5.4,.361,.389,.211,1.8,8.8,5.4,19.9,1.4,0.0,16.2,20.6,,-0.5,0.1,-0.4,-0.067,,-4.8,-1.5,-6.3,-0.3,averywi01
23,Dalibor Bagarić,C,21,CHI,50,638,8.6,.443,.006,.393,9.8,20.1,14.8,6.0,1.4,2.8,18.1,18.4,,-0.7,0.6,-0.1,-0.011,,-5.7,-1.5,-7.2,-0.8,bagarda01
24,Vin Baker,C,30,SEA,55,1710,14.1,.517,.012,.348,11.8,12.3,12.1,7.0,0.7,1.6,14.5,23.8,,1.3,0.9,2.2,.061,,-1.4,-2.3,-3.7,-0.7,bakervi01
25,Erick Barkley,PG,23,POR,19,228,9.8,.401,.103,.147,2.5,6.8,4.6,22.9,4.0,0.3,14.2,16.9,,-0.1,0.3,0.2,.044,,-4.9,1.9,-3.0,-0.1,barkler01
26,Dana Barros,PG,34,DET,29,582,10.5,.473,.370,.141,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,,0.0,0.5,0.5,.040,,-2.0,-0.6,-2.6,-0.1,barroda01
27,Brent Barry,SG,30,SEA,81,3040,19.3,.652,.490,.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,,8.8,3.3,12.1,.191,,3.8,1.6,5.5,5.8,barrybr01
28,Jon Barry,SG,32,DET,82,1985,17.7,.645,.494,.222,2.5,11.3,6.9,23.2,2.5,0.7,16.2,16.2,,5.0,2.5,7.5,.180,,2.6,1.3,3.9,3.0,barryjo01
29,Mengke Bateer,C,26,DEN,27,408,8.0,.469,.091,.280,8.5,18.8,13.4,8.9,1.3,0.9,17.8,19.8,,-0.2,0.3,0.1,.007,,-6.3,-1.1,-7.4,-0.6,bateeme01
30,Tony Battie,C,25,BOS,74,1819,14.5,.570,.005,.333,10.8,18.4,14.5,3.2,1.7,2.9,10.2,12.5,,3.2,3.0,6.2,.164,,-1.4,0.8,-0.7,0.6,battito01
31,Shane Battier,SF,23,MEM,78,3097,13.9,.518,.287,.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,,2.7,2.1,4.8,.074,,0.2,0.3,0.5,1.9,battish01
32,Charlie Bell,SG,22,TOT,7,44,-1.8,.337,.545,.182,5.1,7.7,6.4,6.4,0.0,0.0,29.6,17.2,,-0.2,0.0,-0.2,-0.172,,-8.3,-4.0,-12.3,-0.1,bellch01
32,Charlie Bell,SG,22,PHO,5,42,-2.2,.337,.545,.182,5.3,5.5,5.4,6.7,0.0,0.0,29.6,18.0,,-0.2,0.0,-0.2,-0.185,,-8.4,-4.8,-13.2,-0.1,bellch01
32,Charlie Bell,SG,22,DAL,2,2,7.6,,,,0.0,54.7,27.8,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.085,,-7.1,12.8,5.6,0.0,bellch01
33,Raja Bell,SG,25,PHI,74,890,8.6,.486,.183,.200,4.0,10.1,7.1,13.4,1.3,0.3,15.5,15.9,,0.1,1.0,1.1,.059,,-3.6,0.3,-3.3,-0.3,bellra01
34,Jonathan Bender,SF,21,IND,78,1647,10.6,.538,.272,.393,4.5,12.0,8.4,6.1,0.6,2.1,15.1,17.5,,0.8,1.3,2.0,.059,,-1.5,-0.7,-2.2,-0.1,bendejo01
35,Travis Best,PG,29,TOT,74,1747,14.3,.511,.114,.224,1.3,8.7,5.0,31.3,2.7,0.3,14.8,17.5,,1.9,1.4,3.4,.093,,-1.1,0.3,-0.8,0.6,besttr01
35,Travis Best,PG,29,IND,44,954,13.7,.516,.129,.246,1.2,6.9,4.1,29.8,3.1,0.4,16.8,16.7,,1.0,1.0,2.0,.099,,-1.2,1.3,0.1,0.5,besttr01
35,Travis Best,PG,29,CHI,30,793,14.9,.505,.098,.201,1.4,10.7,6.0,33.1,2.1,0.1,12.6,18.4,,1.0,0.4,1.4,.085,,-0.9,-0.9,-1.8,0.1,besttr01
36,Mike Bibby,PG,23,SAC,80,2659,14.9,.513,.140,.196,1.5,7.3,4.5,23.0,1.6,0.4,11.1,19.7,,3.7,2.6,6.3,.113,,0.3,0.0,0.4,1.6,bibbymi01
37,Chauncey Billups,PG,25,MIN,82,2355,17.6,.555,.383,.284,1.7,9.2,5.5,29.2,1.5,0.5,13.0,20.4,,6.1,1.5,7.6,.156,,3.1,-0.6,2.5,2.7,billuch01
38,Mookie Blaylock,PG,34,GSW,35,599,9.2,.398,.288,.055,1.4,8.1,4.7,28.2,2.0,0.5,19.8,13.1,,-0.2,0.1,-0.1,-0.004,,-2.1,-0.7,-2.8,-0.1,blaylmo01
39,Corie Blount,PF,33,PHI,72,1426,10.2,.478,.004,.179,12.0,17.2,14.6,4.9,1.9,1.4,16.1,10.4,,0.7,2.4,3.1,.104,,-2.7,0.9,-1.9,0.1,blounco01
40,Mark Blount,C,26,BOS,44,415,9.3,.509,.000,.487,6.7,16.0,11.2,3.8,2.0,3.6,20.0,12.7,,0.0,0.7,0.7,.081,,-5.4,1.3,-4.1,-0.2,blounma01
41,Calvin Booth,C,25,SEA,15,279,11.9,.502,.000,.293,8.6,14.1,11.4,8.6,1.2,3.5,14.7,18.1,,0.2,0.3,0.5,.082,,-3.3,0.2,-3.0,0.0,boothca01
42,Ruben Boumtje-Boumtje,C,23,POR,33,245,6.5,.453,.000,.781,10.0,16.5,13.2,2.3,0.7,5.0,24.6,10.6,,-0.1,0.3,0.2,.030,,-6.1,0.5,-5.6,-0.2,boumtru01
43,Cal Bowdler,PF,24,ATL,52,585,9.4,.416,.029,.270,7.4,14.1,10.7,3.0,1.6,1.9,5.3,15.9,,0.0,0.5,0.5,.039,,-3.3,-1.0,-4.3,-0.3,bowdlca01
44,Bruce Bowen,SF,30,SAS,59,1699,8.2,.468,.372,.241,2.9,7.9,5.5,8.1,1.9,1.0,13.0,13.9,,-0.3,2.2,1.9,.054,,-2.5,1.2,-1.3,0.3,bowenbr01
45,Ryan Bowen,SF,26,DEN,75,1686,11.4,.524,.039,.300,8.6,11.7,10.1,4.8,2.4,1.8,10.6,10.3,,1.9,1.2,3.1,.088,,-2.0,0.9,-1.1,0.4,bowenry01
46,Ira Bowman,SG,28,PHI,3,29,16.4,.714,.143,.000,0.0,3.9,2.0,6.4,3.7,0.0,0.0,11.1,,0.1,0.0,0.1,.210,,1.1,5.5,6.6,0.1,bowmair01
47,Earl Boykins,PG,25,LAC,68,761,13.9,.464,.153,.222,4.1,4.0,4.0,31.5,1.4,0.2,12.7,20.5,,0.9,0.2,1.0,.065,,0.6,-2.0,-1.3,0.1,boykiea01
48,Michael Bradley,PF,22,TOR,26,118,9.9,.526,.080,.320,6.6,17.1,11.7,4.0,0.0,3.8,17.4,13.4,,0.0,0.1,0.1,.053,,-3.7,-1.1,-4.8,-0.1,bradlmi01
49,Shawn Bradley,C,29,DAL,53,757,14.6,.562,.006,.393,7.9,17.8,12.9,3.8,1.9,6.0,11.6,12.9,,1.3,1.0,2.3,.144,,-1.8,2.1,0.3,0.4,bradlsh01
50,Elton Brand,PF,22,LAC,80,3020,23.6,.586,.000,.519,15.0,19.6,17.3,11.0,1.4,3.7,12.2,21.1,,9.9,3.7,13.6,.216,,3.9,0.4,4.3,4.8,brandel01
51,Terrell Brandon,PG,31,MIN,32,962,21.2,.494,.063,.230,2.1,9.0,5.6,42.8,2.9,0.5,9.7,20.9,,2.8,0.9,3.7,.186,,4.1,1.0,5.0,1.7,brandte01
52,Jamison Brewer,SG,21,IND,13,43,10.0,.400,.200,.000,5.4,15.4,10.5,30.3,2.4,0.0,37.5,8.4,,0.0,0.1,0.0,.052,,-3.2,2.2,-1.0,0.0,breweja01
53,Primož Brezec,C,22,IND,22,160,9.8,.538,.000,.862,11.6,8.3,9.9,5.8,0.0,3.1,13.0,13.0,,0.2,0.1,0.3,.096,,-3.0,-0.9,-3.9,-0.1,brezepr01
