Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,season
466,Terry Taylor,PF,23,IND,26,2,228,30,65,.462,4,18,.222,26,47,.553,.492,5,7,.714,22,17,39,10,3,5,9,24,69,taylote01,2023
466,Terry Taylor,PF,23,CHI,5,0,36,9,10,.900,1,1,1.000,8,9,.889,.950,1,4,.250,5,3,8,0,0,1,0,2,20,taylote01,2023
467,Garrett Temple,SG,36,NOP,25,0,162,18,45,.400,11,26,.423,7,19,.368,.522,3,4,.750,5,12,17,13,9,2,4,15,50,templga01,2023
468,Dalen Terry,SG,20,CHI,38,0,214,32,72,.444,7,27,.259,25,45,.556,.493,14,21,.667,12,25,37,22,11,5,8,24,85,terryda01,2023
469,Daniel Theis,C,30,IND,7,1,109,21,44,.477,2,11,.182,19,33,.576,.500,5,12,.417,7,15,22,9,2,6,3,7,49,theisda01,2023
470,Cam Thomas,SG,21,BRK,57,4,948,201,456,.441,51,133,.383,150,323,.464,.497,151,174,.868,8,87,95,78,20,7,63,55,604,thomaca02,2023
471,Klay Thompson,SF,32,GSW,69,69,2279,546,1252,.436,301,731,.412,245,521,.470,.556,116,132,.879,39,247,286,163,49,29,123,130,1509,thompkl01,2023
472,JT Thor,PF,20,CHO,69,8,969,95,238,.399,39,123,.317,56,115,.487,.481,33,47,.702,36,116,152,36,22,23,44,66,262,thorjt01,2023
473,Matisse Thybulle,SF-SG,25,TOT,71,28,1200,110,253,.435,54,148,.365,56,105,.533,.542,19,28,.679,40,100,140,53,83,32,24,113,293,thybuma01,2023
473,Matisse Thybulle,SF,25,PHI,49,6,591,50,116,.431,21,63,.333,29,53,.547,.522,9,12,.750,20,43,63,23,45,14,8,65,130,thybuma01,2023
473,Matisse Thybulle,SG,25,POR,22,22,609,60,137,.438,33,85,.388,27,52,.519,.558,10,16,.625,20,57,77,30,38,18,16,48,163,thybuma01,2023
474,Xavier Tillman Sr.,C,24,MEM,61,29,1180,188,306,.614,4,15,.267,184,291,.632,.621,49,89,.551,121,186,307,96,58,29,44,97,429,tillmxa01,2023
