Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,season
490,Dean Wade,PF,26,CLE,44,13,891,73,177,.412,45,127,.354,28,50,.560,.540,15,23,.652,20,130,150,37,28,21,17,89,206,wadede01,2023
491,Franz Wagner,SF,21,ORL,80,80,2609,542,1118,.485,130,360,.361,412,758,.544,.543,271,322,.842,70,259,329,283,77,17,167,183,1485,wagnefr01,2023
492,Moritz Wagner,C,25,ORL,57,18,1109,198,396,.500,51,163,.313,147,233,.631,.564,153,182,.841,69,190,259,84,37,13,68,136,600,wagnemo01,2023
493,Ish Wainright,SF,28,PHO,60,2,915,84,227,.370,57,173,.329,27,54,.500,.496,26,31,.839,45,94,139,53,38,22,22,117,251,wainris01,2023
494,Jabari Walker,SF,20,POR,56,0,619,83,198,.419,16,56,.286,67,142,.472,.460,34,45,.756,48,83,131,34,10,13,29,69,216,walkeja01,2023
495,Kemba Walker,PG,32,DAL,9,1,144,24,57,.421,7,28,.250,17,29,.586,.482,17,21,.810,3,13,16,19,2,2,4,11,72,walkeke02,2023
496,Lonnie Walker IV,SG,24,LAL,56,32,1297,236,527,.448,91,249,.365,145,278,.522,.534,91,106,.858,14,95,109,64,30,17,46,71,654,walkelo01,2023
497,John Wall,PG,32,LAC,34,3,755,138,338,.408,33,109,.303,105,229,.459,.457,77,113,.681,14,78,92,178,27,12,80,59,386,walljo01,2023
498,T.J. Warren,PF-SF,29,TOT,42,0,687,132,270,.489,22,67,.328,110,203,.542,.530,28,35,.800,26,95,121,40,22,12,20,65,314,warretj01,2023
498,T.J. Warren,PF,29,BRK,26,0,490,102,200,.510,16,48,.333,86,152,.566,.550,27,33,.818,13,59,72,29,15,7,17,45,247,warretj01,2023
498,T.J. Warren,SF,29,PHO,16,0,197,30,70,.429,6,19,.316,24,51,.471,.471,1,2,.500,13,36,49,11,7,5,3,20,67,warretj01,2023
499,Duane Washington Jr.,SG,22,PHO,31,3,394,94,256,.367,40,111,.360,54,145,.372,.445,16,24,.667,2,34,36,63,6,4,34,23,244,washidu02,2023
500,P.J. Washington,PF,24,CHO,73,73,2380,434,978,.444,149,428,.348,285,550,.518,.520,127,174,.730,73,285,358,175,66,79,110,193,1144,washipj01,2023
501,TyTy Washington Jr.,PG,21,HOU,31,2,433,58,160,.363,19,80,.238,39,80,.488,.422,10,18,.556,2,43,45,47,15,2,14,29,145,washity02,2023
502,Yuta Watanabe,SF,28,BRK,58,1,928,114,232,.491,60,135,.444,54,97,.557,.621,34,47,.723,30,111,141,48,25,17,22,80,322,watanyu01,2023
503,Lindy Waters III,SG,25,OKC,41,0,531,70,178,.393,58,162,.358,12,16,.750,.556,16,20,.800,16,59,75,28,14,11,10,42,214,waterli01,2023
504,Trendon Watford,PF,22,POR,62,12,1182,181,323,.560,25,64,.391,156,259,.602,.599,72,100,.720,42,196,238,130,32,12,71,118,459,watfotr01,2023
505,Peyton Watson,SG,20,DEN,23,2,186,29,59,.492,6,14,.429,23,45,.511,.542,11,20,.550,8,29,37,11,2,11,8,14,75,watsope01,2023
506,Blake Wesley,SG,19,SAS,37,1,669,69,215,.321,20,52,.385,49,163,.301,.367,26,44,.591,11,70,81,99,25,5,65,67,184,weslebl01,2023
507,Russell Westbrook,PG,34,TOT,73,24,2126,432,991,.436,89,286,.311,343,705,.487,.481,206,314,.656,89,334,423,551,76,33,255,162,1159,westbru01,2023
507,Russell Westbrook,PG,34,LAL,52,3,1491,304,729,.417,63,213,.296,241,516,.467,.460,156,238,.655,59,262,321,391,53,23,184,121,827,westbru01,2023
507,Russell Westbrook,PG,34,LAC,21,21,635,128,262,.489,26,73,.356,102,189,.540,.538,50,76,.658,30,72,102,160,23,10,71,41,332,westbru01,2023
508,Coby White,SG,22,CHI,74,2,1730,263,594,.443,128,344,.372,135,250,.540,.551,61,70,.871,16,196,212,204,54,6,74,122,715,whiteco01,2023
509,Derrick White,SG,28,BOS,82,70,2319,350,758,.462,149,391,.381,201,367,.548,.560,168,192,.875,52,241,293,321,54,76,95,177,1017,whitede01,2023
510,Jack White,SF,25,DEN,17,0,66,8,19,.421,3,9,.333,5,10,.500,.500,2,3,.667,6,11,17,4,3,2,2,9,21,whiteja03,2023
511,Joe Wieskamp,SF,23,TOR,9,0,50,3,14,.214,3,12,.250,0,2,.000,.321,0,0,,0,4,4,3,0,0,1,3,9,wieskjo01,2023
512,Aaron Wiggins,SG,24,OKC,70,14,1297,186,363,.512,48,122,.393,138,241,.573,.579,59,71,.831,68,142,210,80,39,15,55,110,479,wiggiaa01,2023
513,Andrew Wiggins,SF,27,GSW,37,37,1190,250,529,.473,89,225,.396,161,304,.530,.557,44,72,.611,61,125,186,85,45,28,48,107,633,wiggian01,2023
514,Lindell Wigginton,PG,24,MIL,7,1,87,18,37,.486,6,18,.333,12,19,.632,.568,8,9,.889,0,7,7,14,0,2,12,7,50,wiggili01,2023
515,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0,willial06,2023
516,Donovan Williams,SG,21,ATL,2,0,4,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,2,2,0,0,0,0,0,4,willido02,2023
517,Grant Williams,PF,24,BOS,79,23,2045,216,476,.454,115,291,.395,101,185,.546,.575,94,122,.770,87,276,363,131,41,31,82,192,641,willigr01,2023
518,Jalen Williams,SG,21,OKC,75,62,2276,414,794,.521,73,205,.356,341,589,.579,.567,155,191,.812,84,253,337,248,103,35,123,191,1056,willija06,2023
519,Jaylin Williams,C,20,OKC,49,36,914,102,234,.436,46,113,.407,56,121,.463,.534,38,54,.704,44,197,241,76,28,12,37,111,288,willija07,2023
520,Jeenathan Williams,SG,23,POR,5,4,127,24,39,.615,3,8,.375,21,31,.677,.654,2,3,.667,10,5,15,10,3,2,4,13,53,willije02,2023
521,Kenrich Williams,PF,28,OKC,53,10,1206,179,346,.517,50,134,.373,129,212,.608,.590,17,39,.436,97,164,261,105,45,14,32,112,425,willike04,2023
522,Mark Williams,C,21,CHO,43,17,828,160,251,.637,0,0,,160,251,.637,.637,67,97,.691,93,211,304,18,28,45,40,94,387,willima07,2023
523,Patrick Williams,PF,21,CHI,82,65,2323,314,677,.464,115,277,.415,199,400,.498,.549,90,105,.857,78,249,327,100,72,70,101,147,833,willipa01,2023
524,Robert Williams,C,25,BOS,35,20,824,127,170,.747,0,1,.000,127,169,.751,.747,25,41,.610,104,188,292,50,22,48,34,68,279,williro04,2023
525,Vince Williams Jr.,SG,22,MEM,15,1,105,12,40,.300,4,28,.143,8,12,.667,.350,2,2,1.000,4,11,15,4,6,2,5,12,30,willivi01,2023
526,Ziaire Williams,SF,21,MEM,37,4,561,84,196,.429,25,97,.258,59,99,.596,.492,17,22,.773,16,63,79,35,14,6,37,58,210,willizi02,2023
527,Zion Williamson,PF,22,NOP,29,29,956,285,469,.608,7,19,.368,278,450,.618,.615,177,248,.714,58,144,202,133,32,16,99,65,754,willizi01,2023
528,Dylan Windler,SF,26,CLE,3,0,10,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,0,0,1,1,0,1,0,5,windldy01,2023
529,Justise Winslow,PF,26,POR,29,11,776,81,198,.409,14,45,.311,67,153,.438,.444,20,28,.714,49,96,145,98,30,11,43,89,196,winslju01,2023
530,James Wiseman,C,21,TOT,45,22,867,189,339,.558,4,20,.200,185,319,.580,.563,68,97,.701,73,194,267,30,7,27,51,108,450,wisemja01,2023
530,James Wiseman,C,21,GSW,21,0,262,59,94,.628,1,2,.500,58,92,.630,.633,26,38,.684,18,55,73,14,3,7,14,39,145,wisemja01,2023
530,James Wiseman,C,21,DET,24,22,605,130,245,.531,3,18,.167,127,227,.559,.537,42,59,.712,55,139,194,16,4,20,37,69,305,wisemja01,2023
531,Christian Wood,C,27,DAL,67,17,1738,396,769,.515,105,279,.376,291,490,.594,.583,217,281,.772,87,404,491,121,30,72,121,169,1114,woodch01,2023
532,Delon Wright,PG,30,WAS,50,14,1221,138,291,.474,41,119,.345,97,172,.564,.545,52,60,.867,58,122,180,194,92,17,44,59,369,wrighde01,2023
533,McKinley Wright IV,PG,24,DAL,27,1,335,46,98,.469,9,28,.321,37,70,.529,.515,13,19,.684,9,38,47,58,8,5,19,24,114,wrighmc01,2023
534,Gabe York,SG,29,IND,3,0,56,8,21,.381,6,18,.333,2,3,.667,.524,2,2,1.000,0,6,6,5,2,0,0,5,24,yorkga01,2023
535,Thaddeus Young,PF,34,TOR,54,9,795,108,198,.545,6,34,.176,102,164,.622,.561,18,26,.692,71,95,166,75,54,5,42,88,240,youngth01,2023
536,Trae Young,PG,24,ATL,73,73,2541,597,1390,.429,154,460,.335,443,930,.476,.485,566,639,.886,56,161,217,741,80,9,300,104,1914,youngtr01,2023
537,Omer Yurtseven,C,24,MIA,9,0,83,16,27,.593,3,7,.429,13,20,.650,.648,5,6,.833,8,15,23,2,2,2,4,16,40,yurtsom01,2023
538,Cody Zeller,C,30,MIA,15,2,217,37,59,.627,0,2,.000,37,57,.649,.627,24,35,.686,25,39,64,10,3,4,14,33,98,zelleco01,2023
539,Ivica Zubac,C,25,LAC,76,76,2170,326,514,.634,0,2,.000,326,512,.637,.634,166,238,.697,236,520,756,77,29,98,117,219,818,zubaciv01,2023
