Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
309,Olumide Oyedeji,C,20,SEA,36,1,6.1,0.6,1.1,.537,0.0,0.0,,0.6,1.1,.537,.537,0.3,0.5,.611,0.8,1.4,2.2,0.1,0.1,0.1,0.4,1.0,1.5,oyedeol01
310,Robert Pack,PG,32,MIN,16,0,15.8,1.6,4.3,.368,0.1,0.3,.250,1.5,4.0,.375,.375,0.7,0.9,.733,0.4,1.0,1.4,3.1,0.8,0.0,1.3,2.0,3.9,packro01
311,Scott Padgett,PF,25,UTA,75,1,17.3,2.5,5.3,.476,0.7,1.5,.434,1.9,3.8,.493,.538,1.0,1.4,.735,1.5,2.3,3.8,1.1,0.6,0.2,0.9,1.9,6.7,padgesc01
312,Milt Palacio,PG-SG,23,TOT,69,1,11.4,1.2,3.1,.383,0.2,0.6,.317,1.0,2.5,.399,.414,0.8,1.1,.730,0.2,0.9,1.1,1.2,0.4,0.1,0.6,0.9,3.3,palacmi01
312,Milt Palacio,PG,23,BOS,41,0,12.6,1.3,3.3,.385,0.3,0.8,.353,1.0,2.5,.396,.430,0.9,1.2,.706,0.2,1.0,1.2,1.3,0.5,0.1,0.6,0.9,3.7,palacmi01
312,Milt Palacio,SG,23,PHO,28,1,9.7,1.1,2.8,.380,0.0,0.3,.143,1.0,2.6,.403,.386,0.6,0.8,.783,0.1,0.7,0.8,1.0,0.3,0.0,0.6,0.8,2.8,palacmi01
313,Tony Parker*,PG,19,SAS,77,72,29.4,3.5,8.3,.419,0.8,2.5,.323,2.7,5.8,.460,.467,1.4,2.1,.675,0.4,2.1,2.6,4.3,1.2,0.1,2.0,2.2,9.2,parketo01
314,Cherokee Parks,C,29,SAS,42,1,5.6,0.7,2.0,.361,0.0,0.0,,0.7,2.0,.361,.361,0.1,0.2,.375,0.6,0.8,1.4,0.2,0.2,0.2,0.3,0.8,1.5,parksch02
315,Ruben Patterson,SF,26,POR,75,13,23.5,4.3,8.3,.515,0.1,0.5,.250,4.1,7.8,.532,.523,2.6,3.7,.701,2.1,1.9,4.0,1.4,1.1,0.5,1.5,1.9,11.2,patteru01
316,Gary Payton*,PG,33,SEA,82,82,40.3,9.0,19.2,.467,0.9,2.9,.314,8.1,16.4,.494,.490,3.3,4.1,.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1,paytoga01
317,Anthony Peeler,SG,32,MIN,82,0,25.1,3.5,8.3,.421,1.4,3.5,.392,2.2,4.9,.441,.502,0.6,0.7,.862,0.5,2.1,2.5,2.2,0.7,0.1,0.9,1.7,9.0,peelean01
318,Mike Penberthy,PG,27,LAL,3,0,4.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,1.0,1.3,.750,0.0,0.7,0.7,0.7,0.7,0.0,0.0,0.0,1.7,penbemi01
319,Elliot Perry,PG,32,MEM,2,0,24.0,2.5,5.0,.500,0.0,0.0,,2.5,5.0,.500,.500,0.5,1.0,.500,0.0,2.0,2.0,3.5,1.5,0.0,3.5,3.0,5.5,perryel01
320,Wesley Person,SG,30,CLE,78,78,35.8,6.0,12.1,.495,1.8,4.1,.444,4.2,8.0,.521,.570,1.3,1.6,.798,0.6,3.1,3.8,2.2,1.0,0.5,0.9,1.2,15.1,persowe01
321,Morris Peterson,SF,24,TOR,63,56,31.6,5.3,12.2,.438,1.3,3.7,.364,4.0,8.5,.469,.492,2.0,2.7,.751,1.4,2.1,3.5,2.4,1.2,0.2,1.4,2.8,14.0,petermo01
322,Eric Piatkowski,SG,31,LAC,71,64,24.2,2.9,6.6,.439,1.6,3.4,.466,1.4,3.3,.412,.557,1.4,1.6,.894,0.6,2.0,2.6,1.6,0.6,0.2,0.9,1.5,8.8,piatker01
323,Paul Pierce*,SG,24,BOS,82,82,40.3,8.6,19.5,.442,2.6,6.3,.404,6.1,13.1,.461,.508,6.3,7.8,.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,piercpa01
324,Scottie Pippen*,SF,36,POR,62,60,32.2,4.0,9.7,.411,0.9,2.9,.305,3.1,6.8,.455,.456,1.8,2.4,.774,1.2,3.9,5.2,5.9,1.6,0.6,2.8,2.6,10.6,pippesc01
325,Scot Pollard,C,26,SAC,80,29,23.5,2.5,4.5,.550,0.0,0.0,,2.5,4.5,.550,.550,1.4,2.1,.693,2.4,4.7,7.1,0.7,0.9,1.0,0.9,2.5,6.4,pollasc01
326,Mark Pope,PF,29,MIL,45,12,9.5,0.8,2.0,.396,0.1,0.6,.160,0.7,1.5,.485,.418,0.2,0.5,.524,0.4,1.2,1.6,0.4,0.2,0.2,0.3,1.0,1.9,popema01
327,Terry Porter,PG,38,SAS,72,0,18.0,1.9,4.5,.424,0.8,2.0,.415,1.1,2.5,.430,.516,0.9,1.2,.819,0.2,2.1,2.3,2.8,0.6,0.2,1.2,1.2,5.5,portete01
328,James Posey,SF,25,DEN,73,63,30.7,3.8,10.1,.376,0.9,3.2,.283,2.9,6.8,.421,.422,2.2,2.8,.793,1.5,4.4,5.9,2.5,1.6,0.5,1.7,3.1,10.7,poseyja01
329,Lavor Postell,SG,23,NYK,23,0,7.8,1.2,3.7,.333,0.3,1.1,.231,1.0,2.5,.379,.369,1.3,1.8,.756,0.1,0.6,0.7,0.2,0.3,0.0,0.5,0.3,4.0,postela01
330,Vitaly Potapenko,C,26,BOS,79,9,17.0,1.7,3.8,.455,0.0,0.0,,1.7,3.8,.455,.455,1.1,1.5,.742,2.1,2.3,4.4,0.4,0.5,0.2,0.8,2.2,4.6,potapvi01
331,Brent Price,PG,33,SAC,20,0,4.5,0.5,1.4,.333,0.2,0.8,.267,0.3,0.6,.417,.407,0.5,0.7,.692,0.2,0.2,0.4,0.5,0.2,0.1,0.5,0.7,1.6,pricebr01
332,Joel Przybilla,C,22,MIL,71,62,15.9,1.1,2.0,.535,0.0,0.0,.000,1.1,2.0,.539,.535,0.5,1.3,.422,1.1,2.9,4.0,0.3,0.3,1.7,0.6,2.8,2.7,przybjo01
333,Vladimir Radmanović,PF,21,SEA,61,16,20.2,2.4,5.8,.412,1.1,2.6,.420,1.3,3.2,.406,.506,0.8,1.2,.681,0.7,3.0,3.8,1.3,0.9,0.4,1.2,2.0,6.7,radmavl01
334,Zach Randolph,PF,20,POR,41,0,5.8,1.2,2.6,.449,0.0,0.0,,1.2,2.6,.449,.449,0.4,0.7,.667,0.8,0.9,1.7,0.3,0.2,0.1,0.4,0.7,2.8,randoza01
335,Theo Ratliff,C,28,ATL,3,2,27.3,3.3,6.7,.500,0.0,0.0,,3.3,6.7,.500,.500,2.0,3.7,.545,1.7,3.7,5.3,0.3,0.3,2.7,2.3,2.7,8.7,ratlith01
336,Željko Rebrača,C,29,DET,74,4,15.9,2.6,5.1,.505,0.0,0.0,,2.6,5.1,.505,.505,1.8,2.4,.771,1.1,2.8,3.9,0.5,0.4,1.0,1.1,2.6,6.9,rebraze01
337,Eldridge Recasner,PG-SG,34,TOT,6,0,5.5,0.3,1.0,.333,0.0,0.2,.000,0.3,0.8,.400,.333,0.2,0.2,1.000,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.7,0.8,recasel01
337,Eldridge Recasner,SG,34,CHH,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,recasel01
337,Eldridge Recasner,PG,34,LAC,5,0,6.2,0.4,1.2,.333,0.0,0.2,.000,0.4,1.0,.400,.333,0.2,0.2,1.000,0.0,0.0,0.0,1.0,0.2,0.0,0.2,0.6,1.0,recasel01
338,Michael Redd,SG,22,MIL,67,8,21.1,4.4,9.1,.483,1.3,3.0,.444,3.1,6.1,.501,.555,1.4,1.7,.791,1.1,2.2,3.3,1.4,0.6,0.1,0.9,1.4,11.4,reddmi01
339,Don Reid,PF,28,ORL,68,5,10.5,1.3,2.8,.474,0.0,0.0,,1.3,2.8,.474,.474,0.6,1.0,.647,1.0,1.6,2.6,0.4,0.3,0.6,0.8,2.6,3.3,reiddo01
340,Glen Rice,SF,34,HOU,20,20,30.3,3.3,8.4,.389,0.9,3.2,.281,2.4,5.2,.456,.443,1.2,1.5,.800,0.3,2.1,2.4,1.6,0.6,0.2,1.2,1.7,8.6,ricegl01
341,Jason Richardson,SG,21,GSW,80,75,32.9,5.8,13.6,.426,1.0,3.1,.333,4.8,10.6,.453,.463,1.8,2.6,.671,1.6,2.7,4.3,3.0,1.3,0.4,2.0,2.4,14.4,richaja01
342,Norm Richardson,SG,22,TOT,11,0,6.1,0.9,2.4,.385,0.4,0.7,.500,0.5,1.6,.333,.462,0.5,0.8,.667,0.3,0.5,0.7,0.2,0.0,0.0,0.3,0.5,2.7,richano01
342,Norm Richardson,SG,22,IND,3,0,1.3,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,richano01
342,Norm Richardson,SG,22,CHI,8,0,7.9,1.3,2.9,.435,0.5,1.0,.500,0.8,1.9,.400,.522,0.8,1.1,.667,0.3,0.6,0.9,0.1,0.0,0.0,0.4,0.6,3.8,richano01
343,Quentin Richardson,SG,21,LAC,81,0,26.6,4.9,11.4,.432,1.6,4.3,.381,3.3,7.1,.463,.504,1.8,2.3,.765,1.4,2.7,4.1,1.6,1.0,0.3,1.3,1.8,13.3,richaqu01
344,Mitch Richmond*,SG,36,LAL,64,2,11.1,1.6,3.9,.405,0.3,1.0,.290,1.3,2.9,.443,.441,0.7,0.7,.955,0.2,1.3,1.5,0.9,0.3,0.1,0.6,1.0,4.1,richmmi01
345,Isaiah Rider,SG,30,DEN,10,1,17.3,3.7,8.1,.457,0.6,1.5,.400,3.1,6.6,.470,.494,1.3,1.7,.765,1.0,2.3,3.3,1.2,0.3,0.2,1.4,1.1,9.3,rideris01
346,Clifford Robinson,PF,35,DET,80,80,35.7,5.7,13.4,.425,1.4,3.8,.378,4.2,9.6,.443,.478,1.8,2.6,.694,1.0,3.8,4.8,2.5,1.1,1.2,1.9,3.0,14.6,robincl02
347,David Robinson*,C,36,SAS,78,78,29.5,4.4,8.6,.507,0.0,0.0,,4.4,8.6,.507,.507,3.4,5.1,.681,2.4,5.8,8.3,1.2,1.1,1.8,1.3,2.5,12.2,robinda01
348,Eddie Robinson,SF,25,CHI,29,12,22.5,3.9,8.5,.453,0.1,0.2,.400,3.8,8.3,.455,.457,1.2,1.7,.750,0.8,1.9,2.7,1.3,0.8,0.4,1.2,1.2,9.0,robined01
349,Glenn Robinson,SF,29,MIL,66,63,35.5,8.1,17.4,.467,0.9,2.7,.326,7.2,14.7,.493,.493,3.6,4.3,.837,1.1,5.1,6.2,2.5,1.5,0.6,2.6,2.6,20.7,robingl01
350,Larry Robinson,SG,34,NYK,2,0,5.0,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,.375,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5,robinla01
351,Carlos Rogers,C,30,IND,22,1,7.6,1.1,2.0,.558,0.0,0.3,.167,1.0,1.7,.622,.570,0.5,0.9,.526,0.6,1.1,1.7,0.1,0.2,0.3,0.2,0.8,2.7,rogerca01
352,Rodney Rogers,SF,30,TOT,77,8,24.4,4.6,9.8,.471,1.1,3.1,.374,3.5,6.8,.514,.529,1.5,1.9,.785,1.7,2.8,4.5,1.5,0.9,0.4,1.4,2.9,11.9,rogerro01
352,Rodney Rogers,SF,30,PHO,50,7,25.1,5.0,10.7,.466,1.0,2.8,.350,4.0,7.9,.508,.512,1.6,2.0,.828,1.9,2.9,4.8,1.4,1.0,0.3,1.3,3.0,12.6,rogerro01
352,Rodney Rogers,SF,30,BOS,27,1,23.2,4.0,8.2,.482,1.4,3.5,.411,2.5,4.7,.535,.570,1.3,1.9,.700,1.3,2.7,4.0,1.5,0.6,0.4,1.6,2.9,10.7,rogerro01
353,Sean Rooks,C,32,LAC,61,2,11.9,1.3,3.2,.418,0.0,0.0,,1.3,3.2,.418,.418,0.3,0.5,.724,0.5,1.5,2.0,0.4,0.2,0.3,0.3,1.9,3.0,rooksse01
354,Jalen Rose,SF,29,TOT,83,83,38.0,8.0,17.6,.455,1.1,3.0,.362,6.9,14.6,.474,.485,3.4,4.0,.839,0.5,4.0,4.5,4.3,0.9,0.5,2.4,3.0,20.4,roseja01
354,Jalen Rose,SF,29,IND,53,53,36.5,7.3,16.4,.444,1.0,2.8,.356,6.3,13.7,.462,.474,2.9,3.5,.839,0.5,4.2,4.7,3.7,0.8,0.5,2.0,2.8,18.5,roseja01
354,Jalen Rose,SF,29,CHI,30,30,40.5,9.2,19.6,.470,1.2,3.3,.370,8.0,16.2,.491,.502,4.2,5.0,.839,0.5,3.7,4.1,5.3,1.1,0.5,3.2,3.4,23.8,roseja01
355,Malik Rose,PF,27,SAS,82,1,21.0,3.6,7.7,.463,0.0,0.1,.083,3.6,7.6,.470,.464,2.3,3.1,.720,2.1,3.9,6.0,0.7,0.9,0.5,1.7,2.5,9.4,rosema01
356,Michael Ruffin,PF,25,PHI,15,0,11.3,0.5,1.7,.269,0.0,0.0,,0.5,1.7,.269,.269,0.1,0.5,.250,1.5,1.9,3.4,0.3,0.3,0.5,0.7,1.5,1.1,ruffimi01
357,Bryon Russell,SG,31,UTA,66,40,30.3,3.4,8.8,.380,1.2,3.4,.341,2.2,5.4,.405,.446,1.7,2.1,.821,1.2,3.3,4.5,2.1,1.0,0.3,1.7,3.1,9.6,russebr01
358,Daniel Santiago,C,25,PHO,3,0,8.0,1.3,2.7,.500,0.0,0.0,,1.3,2.7,.500,.500,0.0,0.0,,0.0,2.3,2.3,0.7,0.0,0.3,0.7,1.3,2.7,santida01
